"tip","ass_bid","ass_tid"
"cnt","939","27"
"cnt","939","13"
"cnt","939","11"
"cnt","939","6"
"cnt","940","11"
"cnt","940","13"
"cnt","940","27"
"obj","940","436"
"cnt","941","27"
"cnt","941","13"
"cnt","941","11"
"cnt","941","6"
"cnt","942","6"
"cnt","942","11"
"cnt","942","13"
"cnt","942","27"
"cnt","943","6"
"cnt","943","11"
"cnt","943","13"
"cnt","943","27"
"cnt","944","6"
"cnt","944","11"
"cnt","944","13"
"cnt","944","27"
"cnt","945","27"
"cnt","945","13"
"cnt","945","11"
"cnt","945","6"
"cnt","946","6"
"cnt","946","11"
"cnt","946","13"
"cnt","946","27"
"cnt","1052","27"
"cnt","1052","13"
"cnt","1052","11"
"cnt","1052","6"
"cnt","1053","27"
"cnt","1053","13"
"cnt","1053","14"
"cnt","1053","26"
"cnt","1053","11"
"cnt","1053","6"
"obj","1053","438"
"obj","1053","820"
"obj","1053","604"
"obj","1053","28"
"cnt","1054","27"
"cnt","1054","13"
"cnt","1054","14"
"cnt","1054","11"
"cnt","1054","6"
"cnt","1055","6"
"obj","1055","798"
"obj","1055","75"
"obj","1055","774"
"obj","1055","65"
"obj","1055","634"
"cnt","1056","27"
"cnt","1056","13"
"cnt","1056","11"
"cnt","1056","6"
"cnt","1057","6"
"obj","1059","469"
"obj","1059","467"
"obj","1059","49"
"obj","1059","643"
"cnt","1060","27"
"cnt","1060","13"
"cnt","1060","14"
"cnt","1060","11"
"cnt","1060","6"
"obj","1061","1056"
"obj","1062","885"
"obj","1062","888"
"obj","1062","439"
"obj","1062","586"
"obj","1062","72"
"obj","1062","347"
"obj","1062","74"
"obj","1062","867"
"obj","1062","436"
"cnt","1062","6"
"cnt","1062","11"
"cnt","1062","14"
"cnt","1062","13"
"cnt","1062","27"
"cnt","1063","27"
"cnt","1063","13"
"cnt","1063","14"
"cnt","1063","11"
"cnt","1063","6"
"cnt","1064","6"
"cnt","1064","11"
"cnt","1064","13"
"cnt","1064","27"
"cnt","1065","27"
"cnt","1065","13"
"cnt","1065","11"
"cnt","1065","6"
"obj","1065","1056"
"obj","1065","1061"
"cnt","1066","6"
"cnt","1066","11"
"cnt","1066","13"
"cnt","1066","27"
"obj","1068","811"
